"name","compiled","number","percent"
"car","uncompiled",339,0.0342496893280393
"car","compiled",989451,99.965750310672
"checkmate","uncompiled",252,0.0519493370275084
"checkmate","compiled",484836,99.9480506629725
"colorspace","uncompiled",5275,1.47101473524523
"colorspace","compiled",353321,98.5289852647548
"curl","uncompiled",27,0.274362361548623
"curl","compiled",9814,99.7256376384514
"data","uncompiled",31,0.0692458899213724
"data","compiled",44737,99.9307541100786
"DBI","uncompiled",96,0.153325241167827
"DBI","compiled",62516,99.8466747588322
"digest","uncompiled",40,0.140726146918097
"digest","compiled",28384,99.8592738530819
"dplyr","uncompiled",7063,1.67725787453931
"dplyr","compiled",414041,98.3227421254607
"foreach","uncompiled",1278,0.398821634981463
"foreach","compiled",319166,99.6011783650185
"forecast","uncompiled",100,0.0257662894481891
"forecast","compiled",388004,99.9742337105518
"Formula","uncompiled",1,0.00717669011052103
"Formula","compiled",13933,99.9928233098895
"gdata","uncompiled",6,0.0565024955268858
"gdata","compiled",10613,99.9434975044731
"ggplot2","uncompiled",158,0.196681314030349
"ggplot2","compiled",80175,99.8033186859697
"gridExtra","uncompiled",70,0.00741732071541118
"gridExtra","compiled",943667,99.9925826792846
"highr","uncompiled",1,0.0213995292103574
"highr","compiled",4672,99.9786004707896
"htmlwidgets","uncompiled",48,0.298953662182362
"htmlwidgets","compiled",16008,99.7010463378176
"iterators","uncompiled",18,0.536193029490617
"iterators","compiled",3339,99.4638069705094
"jsonlite","uncompiled",45,0.254798709019874
"jsonlite","compiled",17616,99.7452012909801
"knitr","uncompiled",25,0.165212794078773
"knitr","compiled",15107,99.8347872059212
"lazyeval","uncompiled",26,0.268096514745308
"lazyeval","compiled",9672,99.7319034852547
"lubridate","uncompiled",163,0.14879593960528
"lubridate","compiled",109383,99.8512040603947
"magrittr","uncompiled",137,1.14242828552368
"magrittr","compiled",11855,98.8575717144763
"markdown","uncompiled",34,0.424363454817773
"markdown","compiled",7978,99.5756365451822
"mvtnorm","uncompiled",164,0.551167870946059
"mvtnorm","compiled",29591,99.4488321290539
"nloptr","uncompiled",1,0.0115942028985507
"nloptr","compiled",8624,99.9884057971014
"quantreg","uncompiled",1347,0.270240989960758
"quantreg","compiled",497097,99.7297590100392
"R6","uncompiled",14888,2.44518935928747
"R6","compiled",593981,97.5548106407125
"RcppArmadillo","uncompiled",1563,0.229049247786443
"RcppArmadillo","compiled",680823,99.7709507522136
"RcppEigen","compiled",51,100
"Rcpp","uncompiled",45,0.0732409954265067
"Rcpp","compiled",61396,99.9267590045735
"readr","uncompiled",30,0.0844451950684006
"readr","compiled",35496,99.9155548049316
"readxl","uncompiled",28,0.0454552833649897
"readxl","compiled",61571,99.954544716635
"rlang","uncompiled",24,0.697066511762997
"rlang","compiled",3419,99.302933488237
"rprojroot","uncompiled",6,0.282352941176471
"rprojroot","compiled",2119,99.7176470588235
"RSQLite","uncompiled",178,0.203358848394836
"RSQLite","compiled",87352,99.7966411516052
"SparseM","uncompiled",169,0.357634112792297
"SparseM","compiled",47086,99.6423658872077
"sp","uncompiled",15358,0.790559409062247
"sp","compiled",1927317,99.2094405909378
"stringr","uncompiled",33,0.614868641699273
"stringr","compiled",5334,99.3851313583007
"tibble","uncompiled",35,0.100306651763964
"tibble","compiled",34858,99.899693348236
"tidyr","uncompiled",24,0.717488789237668
"tidyr","compiled",3321,99.2825112107623
"viridis","uncompiled",6662,0.853630878322363
"viridis","compiled",773769,99.1463691216776
"xml2","uncompiled",29,0.268121301775148
"xml2","compiled",10787,99.7318786982248
"xtable","uncompiled",10191,0.666630907183208
"xtable","compiled",1518541,99.3333690928168
"xts","uncompiled",9,0.0204067750493164
"xts","compiled",44094,99.9795932249507
"zoo","uncompiled",646,0.178174947940369
"zoo","compiled",361919,99.8218250520596
