"name","no.of.forces","number","percent"
"BMS",0,5856291,33.5202440537149
"BMS",1,11614617,66.4797559462851
"car",0,312394,16.2933909836985
"car",1,1604911,83.7066090163015
"caschrono",0,339370,17.1140291468502
"caschrono",1,1643623,82.8859708531498
"catdata",0,0,NA
"cellranger",0,0,NA
"checkmate",0,133196,14.6539280747769
"checkmate",1,775748,85.3460719252231
"colorspace",0,110749,16.4681793241071
"colorspace",1,561754,83.5318206758929
"copula",0,9746884,38.5070466126492
"copula",1,15565065,61.4929533873508
"curl",0,1557,8.61983059292476
"curl",1,16506,91.3801694070752
"data",0,13622,15.5870607485725
"data",1,73771,84.4129392514275
"DBI",0,22442,17.805176052427
"DBI",1,103600,82.194823947573
"digest",0,3279,6.25333740178503
"digest",1,49157,93.746662598215
"dplyr",0,63355,7.48783249380101
"dplyr",1,782751,92.512167506199
"foreach",0,289266,32.3502604093857
"foreach",1,604903,67.6497395906143
"forecast",0,91817,11.5707759679909
"forecast",1,701708,88.4292240320091
"Formula",0,2529,8.73605305882759
"Formula",1,26420,91.2639469411724
"gamclass",0,1043290,19.3467906050061
"gamclass",1,4349272,80.6529868667542
"gamclass",2,12,0.000222528239760827
"gdata",0,2194,11.1642580907796
"gdata",1,17458,88.8357419092204
"ggplot2",0,18018,12.1141627727166
"ggplot2",1,130717,87.8858372272834
"gridExtra",0,485935,24.5332505351589
"gridExtra",1,1494785,75.4667494648411
"grid",0,622142,37.5174202107612
"grid",1,1036133,62.4825797892388
"highr",0,1290,13.7717518949504
"highr",1,8077,86.2282481050496
"htmlwidgets",0,2959,10.2412349011871
"htmlwidgets",1,25934,89.7587650988129
"iterators",0,833,13.8211382113821
"iterators",1,5194,86.1788617886179
"jsonlite",0,3047,9.81257245910086
"jsonlite",1,28005,90.1874275408991
"knitr",0,4202,14.7252593215587
"knitr",1,24334,85.2747406784413
"lazyeval",0,4048,20.4671857619577
"lazyeval",1,15730,79.5328142380423
"lme4",0,0,NA
"lmtest",0,13749,16.8169086439082
"lmtest",1,68008,83.1830913560918
"lubridate",0,46244,20.1437470052707
"lubridate",1,183326,79.8562529947293
"magrittr",0,4024,17.3366076429279
"magrittr",1,19187,82.6633923570721
"markdown",0,2163,14.1261755485893
"markdown",1,13149,85.8738244514107
"mvtnorm",0,9527,16.404084233001
"mvtnorm",1,48550,83.595915766999
"nloptr",0,2616,14.3673110720562
"nloptr",1,15592,85.6326889279438
"proto",0,0,NA
"psych",0,423783,8.62030527438202
"psych",1,4419017,89.8886353456458
"psych",2,36651,0.745529689986091
"purrr",0,0,NA
"quantreg",0,141114,15.3549347452814
"quantreg",1,777900,84.6450652547186
"R6",0,215232,18.0235192053413
"R6",1,978941,81.9764807946587
"RcppArmadillo",0,219151,16.2118396562795
"RcppArmadillo",1,1132645,83.7881603437205
"RcppEigen",0,17,20
"RcppEigen",1,68,80
"Rcpp",0,16063,13.0086897367164
"Rcpp",1,107416,86.9913102632836
"readr",0,4914,7.56908289947938
"readr",1,60008,92.4309171005206
"readxl",0,10429,8.44234692225496
"readxl",1,113103,91.557653077745
"rivr",0,14731,12.6738993900078
"rivr",1,101500,87.3261006099922
"rlang",0,950,13.9685340391119
"rlang",1,5851,86.0314659608881
"rprojroot",0,379,9.97368421052632
"rprojroot",1,3421,90.0263157894737
"RSQLite",0,29869,17.3041271753992
"RSQLite",1,142743,82.6958728246008
"Sleuth3",0,0,NA
"SparseM",0,13950,15.7050379960597
"SparseM",1,74875,84.2949620039403
"sp",0,681888,16.7163540987658
"sp",1,3397279,83.2836459012343
"stringr",0,1074,11.314791403287
"stringr",1,8418,88.685208596713
"tibble",0,4851,7.79515032700744
"tibble",1,57380,92.2048496729926
"tidyr",0,797,12.752
"tidyr",1,5453,87.248
"vcd",0,2294378,24.8513739495011
"vcd",1,6938021,75.1486260504989
"viridis",0,165128,11.703428289144
"viridis",1,1245809,88.296571710856
"xml2",0,2918,14.2306754450134
"xml2",1,17587,85.7693245549866
"xtable",0,631295,20.3153751246189
"xtable",1,2476179,79.6846248753811
"xts",0,13236,15.4745481329062
"xts",1,72298,84.5254518670938
"zoo",0,131568,18.1499639947358
"zoo",1,593326,81.8500360052642
